Station,       LYNEHAM 
Latitude,      51.50275 
Longtude,      -1.99094 
Eastings,      400629 
Northings,     178255 
Altitude (m),  145 
Start:,  0000 01/06/2020 
End:,  2300 30/06/2020 
Date and time,Daily Maximum Air Temperature,Daily Minimum Air Temperature 
,DegC,DegC 
2020-06-01,23.8,9.3
2020-06-02,23.7,10.4
2020-06-03,16.5,13.6
2020-06-04,15.1,7.8
2020-06-05,17.1,9.5
2020-06-06,15.6,6
2020-06-07,18,6.8
2020-06-08,17.5,7
2020-06-09,18.3,8.8
2020-06-10,15.2,10.5
2020-06-11,16.6,10
2020-06-12,20,11.3
2020-06-13,22.1,11
2020-06-14,22.2,10.4
2020-06-15,22.5,10.4
2020-06-16,23.4,13.4
2020-06-17,22.1,9.5
2020-06-18,14.7,13.5
2020-06-19,17.3,11.9
2020-06-20,20.1,11.1
2020-06-21,19,12.2
2020-06-22,21.1,8.8
2020-06-23,25.6,10.7
2020-06-24,30,14.5
2020-06-25,30.7,15.7
2020-06-26,26.1,18.1
2020-06-27,18.6,13.2
2020-06-28,17.7,10.2
2020-06-29,17.6,10.9
2020-06-30,18.8,11.4
